Test Type,Name,Quantity,Expiration Date,Date Entered
Reagent,Glucose Reagent,50,2026-01-15,2025-03-12
Test Kit,COVID-19 Rapid Test,200,2026-03-30,2025-02-10
Consumable,Pipette Tips,1000,2027-06-05,2025-04-22
Reagent,Cholesterol Reagent,75,2026-09-10,2025-01-14
Consumable,Gloves (Box of 100),500,2027-02-18,2025-05-03
Test Kit,Influenza A/B Test Kit,120,2026-11-25,2025-03-02
Reagent,Protein Assay Reagent,90,2026-07-07,2025-06-01
Consumable,Collection Tubes,800,2027-01-01,2025-02-18
Test Kit,HIV Rapid Test Kit,300,2026-05-14,2025-03-29
Reagent,HbA1c Reagent,60,2026-12-20,2025-04-12
Reagent,Liver Function Reagent,85,2026-10-30,2025-01-25
Consumable,Face Masks (Box of 50),600,2027-03-15,2025-02-05
Test Kit,Strep A Test Kit,180,2026-08-20,2025-03-10
Consumable,Swabs (Sterile),900,2027-04-12,2025-02-28
Reagent,Electrolyte Panel Reagent,70,2026-06-01,2025-05-19
Test Kit,Urine Pregnancy Test,400,2026-09-09,2025-01-29
Consumable,Microcentrifuge Tubes,750,2027-02-10,2025-03-15
Reagent,Troponin Reagent,95,2026-11-02,2025-04-25
Consumable,Alcohol Prep Pads,1200,2027-05-11,2025-02-14
Test Kit,Malaria Rapid Test Kit,220,2026-12-18,2025-03-05
Reagent,Blood Gas Reagent,80,2026-08-04,2025-06-20
Consumable,Needles (Box of 100),550,2027-01-22,2025-03-01
Reagent,CRP Reagent,65,2026-07-17,2025-02-09
Test Kit,Dengue Rapid Test Kit,150,2026-06-25,2025-03-19
Consumable,Lancets,1300,2027-03-02,2025-04-01
Reagent,Urea Reagent,88,2026-09-30,2025-02-16
Test Kit,PSA Test Kit,260,2026-10-20,2025-05-12
Consumable,Serum Separator Tubes,870,2027-06-10,2025-01-19
Reagent,Bilirubin Reagent,72,2026-12-01,2025-03-21
Consumable,Centrifuge Tubes 15ml,940,2027-04-28,2025-04-10
Reagent,Albumin Reagent,77,2026-08-22,2025-01-31
Test Kit,Hepatitis B Test Kit,310,2026-11-17,2025-03-25
Consumable,Urine Collection Cups,1050,2027-02-14,2025-02-21
Reagent,Amylase Reagent,66,2026-09-18,2025-06-08
Test Kit,Hepatitis C Test Kit,275,2026-12-30,2025-03-09
Consumable,Slides and Coverslips,500,2027-05-05,2025-04-17
Reagent,Calcium Reagent,82,2026-07-12,2025-02-03
Test Kit,RSV Rapid Test Kit,190,2026-08-16,2025-05-01
Consumable,Syringes (5ml),720,2027-01-28,2025-01-26
Reagent,ALT/AST Reagent,93,2026-06-15,2025-04-14
Test Kit,H. Pylori Rapid Test Kit,210,2026-09-27,2025-03-18
Consumable,Blood Collection Sets,630,2027-03-23,2025-02-06
Reagent,TSH Reagent,69,2026-08-03,2025-04-05
Consumable,Transport Media Vials,850,2027-02-07,2025-05-08
Test Kit,EBV Test Kit,245,2026-10-08,2025-02-24
Reagent,CK-MB Reagent,78,2026-11-11,2025-03-14
Consumable,Sample Labels Roll,1100,2027-04-02,2025-01-21
Test Kit,Rotavirus Test Kit,230,2026-05-30,2025-03-12
Consumable,Capillary Tubes,960,2027-03-18,2025-02-17
Reagent,Lactate Dehydrogenase Reagent,84,2026-12-22,2025-04-09
